Country,Year,Value
Cambodia,2023,21182
Cameroon,1995,1539
Cameroon,2005,2849
Cameroon,2010,3878
Cameroon,2015,4053
Cameroon,2021,4294
Cameroon,2022,5568
Cameroon,2023,4528
Canada,1995,191118
Canada,2005,360552
Canada,2010,386580
Canada,2015,408697
Canada,2021,501539
Canada,2022,596761
Canada,2023,566655
Cayman Islands,1995,4
Cayman Islands,2005,52
Cayman Islands,2010,24
Cayman Islands,2015,65
Cayman Islands,2021,17
Central African Republic,2022,8
Central African Republic,1995,120
Central African Republic,2005,111
Central African Republic,2010,90
Central African Republic,2015,97
Central African Republic,2021,58
Central African Republic,2022,116
Chad,2023,127
Chad,1995,243
Chad,2005,3095
Chad,2010,3410
Chad,2015,2223
Chad,2021,2457
Chad,2022,4092
Chile,2023,3847
Chile,1995,15901
Chile,2005,41973
Chile,2010,71106
Chile,2015,62118
Chile,2021,94677
Chile,2022,98557
China,2023,94936
China,1995,148616
China,2005,761953
China,2010,1577764
China,2015,2273468
China,2021,3316022
China,2022,3593601
"China, Hong Kong SAR",2023,3379748
"China, Hong Kong SAR",1995,173871
"China, Hong Kong SAR",2005,292119
"China, Hong Kong SAR",2010,400692
"China, Hong Kong SAR",2015,510553
"China, Hong Kong SAR",2021,670926
"China, Hong Kong SAR",2022,610138
"China, Macao SAR",2023,575044
"China, Macao SAR",1995,2025
"China, Macao SAR",2005,2474
"China, Macao SAR",2010,870
"China, Macao SAR",2015,1339
"China, Macao SAR",2021,1392
"China, Macao SAR",2022,1367
Colombia,2023,1222
Colombia,1995,10201
Colombia,2005,21190
Colombia,2010,39820
Colombia,2015,35691
Colombia,2021,41390
Colombia,2022,57259
Comoros,2023,49658
Comoros,1995,11
Comoros,2005,4
Comoros,2010,14
Comoros,2015,16
Comoros,2021,34
Comoros,2022,50
Congo,2023,54
Congo,1995,1090
Congo,2005,4744
Congo,2010,6918
Congo,2015,8623
Congo,2021,2362
Congo,2022,3497
Cook Islands,2023,4595
Cook Islands,1995,5
Cook Islands,2005,5
Cook Islands,2010,5
Cook Islands,2015,14
Cook Islands,2021,4
Costa Rica,2022,1
Costa Rica,1995,2702
Costa Rica,2005,7151
Costa Rica,2010,9045
Costa Rica,2015,9578
Costa Rica,2021,14345
Costa Rica,2022,15320
Cote d Ivoire,2023,15331
Croatia,1995,3736
Croatia,2005,7248
Croatia,2010,10284
Croatia,2015,12560
Croatia,2021,15334
Croatia,2022,16429
Croatia,2023,8930
Cuba,1995,4633
Cuba,2005,8773
Cuba,2010,11811
Cuba,2015,12844
Cuba,2021,21828
Cuba,2022,25383
Cuba,2023,24670
Cyprus,1995,1491
Cyprus,2005,2319
Cyprus,2010,4914
Cyprus,2015,1318
Cyprus,2021,2281
Cyprus,2022,2486
Cyprus,2023,2128
Czechia,1995,1231
Czechia,2005,1546
Czechia,2010,1506
Czechia,2015,3359
Czechia,2021,4007
Czechia,2022,4411
Czechia,2023,5067
Dem. People's Rep. Korea,1995,21686
Dem. People's Rep. Korea,2005,78209
Dem. People's Rep. Korea,2010,132141
Dem. People's Rep. Korea,2015,157194
Dem. People's Rep. Korea,2021,227168
Dem. People's Rep. Korea,2022,241689
Dem. People's Rep. Korea,2023,253328
Dem. Rep. of the Congo,1995,1739
Dem. Rep. of the Congo,2005,787
Dem. Rep. of the Congo,2010,882
Dem. Rep. of the Congo,2015,3084
Dem. Rep. of the Congo,2021,184
Dem. Rep. of the Congo,2022,246
Dem. Rep. of the Congo,2023,419
Denmark,1995,1562
Denmark,2005,2190
Denmark,2010,5300
Denmark,2015,8685
Denmark,2021,21412
Denmark,2022,15672
Denmark,2023,14971
Djibouti,1995,48789
Djibouti,2005,82278
Djibouti,2010,96217
Djibouti,2015,94619
Djibouti,2021,125385
Djibouti,2022,129811
Djibouti,2023,136074
Dominica,1995,13
Dominica,2005,39
Dominica,2010,470
Dominica,2015,251
Dominica,2021,328
Dominica,2022,384
Dominica,2023,468
Dominican Republic,1995,45
Dominican Republic,2005,42
Dominican Republic,2010,34
Dominican Republic,2015,10
Dominican Republic,2021,14
Dominican Republic,2022,13
Dominican Republic,2023,63
Ecuador,1995,872
Ecuador,2005,6183
Ecuador,2010,4767
Ecuador,2015,9389
Ecuador,2021,11643
Ecuador,2022,9836
Ecuador,2023,10036
Egypt,1995,4361
Egypt,2005,9869
Egypt,2010,17490
Egypt,2015,18331
Egypt,2021,26699
Egypt,2022,35380
Egypt,2023,33737
El Salvador,1995,3444
El Salvador,2005,10646
El Salvador,2010,26332
El Salvador,2015,21859
El Salvador,2021,43637
El Salvador,2022,52116
El Salvador,2023,42052
Equatorial Guinea,1995,985
Equatorial Guinea,2005,3436
Equatorial Guinea,2010,4499
Equatorial Guinea,2015,5509
Equatorial Guinea,2021,6395
Equatorial Guinea,2022,7115
Equatorial Guinea,2023,6475
Eritrea,1995,86
Eritrea,2005,7062
Eritrea,2010,9964
Eritrea,2015,6566
Eritrea,2021,4763
Eritrea,2022,7415
Eritrea,2023,4719
Estonia,1995,73
Estonia,2005,11
Estonia,2010,13
Estonia,2015,415
Estonia,2021,492
Estonia,2022,586
Estonia,2023,475
Eswatini,1995,1840
Eswatini,2005,8247
Eswatini,2010,12811
Eswatini,2015,13908
Eswatini,2021,22303
Eswatini,2022,23600
Ethiopia,2023,20108
Ethiopia,2005,1278
