Country,Year,NationalCurrency,Value
Lao People's Dem. Rep.,2023,Lao Kip (LAK),19162.00
Latvia,2015,Euro (EUR),0.9
Latvia,2020,Euro (EUR),0.8
Latvia,2021,Euro (EUR),0.9
Latvia,2022,Euro (EUR),0.9
Latvia,2023,Euro (EUR),0.9
Lebanon,2022,Lebanese Pound (LBP),1507.50
Lesotho,1995,Loti (LSL),3.6
Lesotho,2005,Loti (LSL),6.3
Lesotho,2010,Loti (LSL),6.6
Lesotho,2015,Loti (LSL),15.5
Lesotho,2020,Loti (LSL),14.7
Lesotho,2021,Loti (LSL),15.9
Lesotho,2022,Loti (LSL),17
Lesotho,2023,Loti (LSL),18.5
Liberia,1995,Liberian Dollar (LRD),43.8
Liberia,2005,Liberian Dollar (LRD),56.5
Liberia,2010,Liberian Dollar (LRD),71.5
Liberia,2015,Liberian Dollar (LRD),88.5
Liberia,2020,Liberian Dollar (LRD),164.2
Liberia,2021,Liberian Dollar (LRD),145.4
Liberia,2022,Liberian Dollar (LRD),154.5
Libya,1995,Libyan Dinar (LYD),0.4
Libya,2005,Libyan Dinar (LYD),1.4
Libya,2010,Libyan Dinar (LYD),1.3
Libya,2015,Libyan Dinar (LYD),1.4
Libya,2020,Libyan Dinar (LYD),1.3
Libya,2021,Libyan Dinar (LYD),4.6
Libya,2022,Libyan Dinar (LYD),4.8
Libya,2023,Libyan Dinar (LYD),4.8
Liechtenstein,1995,Swiss Franc (CHF),1.2
Liechtenstein,2005,Swiss Franc (CHF),1.3
Liechtenstein,2010,Swiss Franc (CHF),0.9
Liechtenstein,2015,Swiss Franc (CHF),1
Liechtenstein,2020,Swiss Franc (CHF),0.9
Liechtenstein,2021,Swiss Franc (CHF),0.9
Liechtenstein,2022,Swiss Franc (CHF),0.9
Liechtenstein,2023,Swiss Franc (CHF),0.8
Lithuania,2015,Euro (EUR),0.9
Lithuania,2020,Euro (EUR),0.8
Lithuania,2021,Euro (EUR),0.9
Lithuania,2022,Euro (EUR),0.9
Lithuania,2023,Euro (EUR),0.9
Luxembourg,2005,Euro (EUR),0.8
Luxembourg,2010,Euro (EUR),0.7
Luxembourg,2015,Euro (EUR),0.9
Luxembourg,2020,Euro (EUR),0.8
Luxembourg,2021,Euro (EUR),0.9
Luxembourg,2022,Euro (EUR),0.9
Luxembourg,2023,Euro (EUR),0.9
Madagascar,2023,Malagasy Ariary (MGA),4572.80
Malawi,1995,Malawi Kwacha (MWK),15.3
Malawi,2005,Malawi Kwacha (MWK),123.8
Malawi,2010,Malawi Kwacha (MWK),150.8
Malawi,2015,Malawi Kwacha (MWK),672.7
Malawi,2020,Malawi Kwacha (MWK),773.1
Malaysia,1995,Malaysian Ringgit (MYR),2.5
Malaysia,2005,Malaysian Ringgit (MYR),3.8
Malaysia,2010,Malaysian Ringgit (MYR),3.1
Malaysia,2015,Malaysian Ringgit (MYR),4.3
Malaysia,2020,Malaysian Ringgit (MYR),4
Malaysia,2021,Malaysian Ringgit (MYR),4.2
Malaysia,2022,Malaysian Ringgit (MYR),4.4
Malaysia,2023,Malaysian Ringgit (MYR),4.6
Maldives,1995,Rufiyaa (MVR),11.8
Maldives,2005,Rufiyaa (MVR),12.8
Maldives,2010,Rufiyaa (MVR),12.8
Maldives,2015,Rufiyaa (MVR),15.4
Maldives,2020,Rufiyaa (MVR),15.4
Maldives,2021,Rufiyaa (MVR),15.4
Maldives,2022,Rufiyaa (MVR),15.4
Maldives,2023,Rufiyaa (MVR),15.4
Mali,1995,"CFA Franc, BCEAO (XOF)",490
Mali,2005,"CFA Franc, BCEAO (XOF)",556
Mali,2010,"CFA Franc, BCEAO (XOF)",490.9
Mali,2015,"CFA Franc, BCEAO (XOF)",602.5
Mali,2020,"CFA Franc, BCEAO (XOF)",534.6
Mali,2021,"CFA Franc, BCEAO (XOF)",579.2
Mali,2022,"CFA Franc, BCEAO (XOF)",615
Mali,2023,"CFA Franc, BCEAO (XOF)",593.6
Malta,2010,Euro (EUR),0.7
Malta,2015,Euro (EUR),0.9
Malta,2020,Euro (EUR),0.8
Malta,2021,Euro (EUR),0.9
Malta,2022,Euro (EUR),0.9
Malta,2023,Euro (EUR),0.9
Martinique,2005,Euro (EUR),0.8
Martinique,2010,Euro (EUR),0.7
Martinique,2015,Euro (EUR),0.9
Martinique,2020,Euro (EUR),0.8
Martinique,2021,Euro (EUR),0.9
Martinique,2022,Euro (EUR),0.9
Martinique,2023,Euro (EUR),0.9
Mauritania,1995,Ouguiya (MRU),13.7
Mauritania,2005,Ouguiya (MRU),27.1
Mauritania,2010,Ouguiya (MRU),28.2
Mauritania,2015,Ouguiya (MRU),33.9
Mauritania,2020,Ouguiya (MRU),36.7
Mauritania,2021,Ouguiya (MRU),36.2
Mauritius,1995,Mauritius Rupee (MUR),17.7
Mauritius,2005,Mauritius Rupee (MUR),30.7
Mauritius,2010,Mauritius Rupee (MUR),30.4
Mauritius,2015,Mauritius Rupee (MUR),35.9
Mauritius,2020,Mauritius Rupee (MUR),39.5
Mauritius,2021,Mauritius Rupee (MUR),43.5
Mauritius,2022,Mauritius Rupee (MUR),43.9
Mauritius,2023,Mauritius Rupee (MUR),44.3
Mayotte,2005,Euro (EUR),0.8
Mayotte,2010,Euro (EUR),0.7
Mayotte,2015,Euro (EUR),0.9
Mayotte,2020,Euro (EUR),0.8
Mayotte,2021,Euro (EUR),0.9
Mayotte,2022,Euro (EUR),0.9
Mayotte,2023,Euro (EUR),0.9
Mexico,1995,Mexican Peso (MXN),7.6
Mexico,2005,Mexican Peso (MXN),10.8
Mexico,2010,Mexican Peso (MXN),12.4
Mexico,2015,Mexican Peso (MXN),17.2
Mexico,2020,Mexican Peso (MXN),19.9
Mexico,2021,Mexican Peso (MXN),20.6
Mexico,2022,Mexican Peso (MXN),19.4
Mexico,2023,Mexican Peso (MXN),16.9
Monaco,2005,Euro (EUR),0.8
Monaco,2010,Euro (EUR),0.7
Monaco,2015,Euro (EUR),0.9
Monaco,2020,Euro (EUR),0.8
Monaco,2021,Euro (EUR),0.9
Monaco,2022,Euro (EUR),0.9
Monaco,2023,Euro (EUR),0.9
Mongolia,2023,Tugrik (MNT),3410.70
Montenegro,2005,Euro (EUR),0.8
Montenegro,2010,Euro (EUR),0.7
Montenegro,2015,Euro (EUR),0.9
Montenegro,2020,Euro (EUR),0.8
Montenegro,2021,Euro (EUR),0.9
Montenegro,2022,Euro (EUR),0.9
Montenegro,2023,Euro (EUR),0.9
Montserrat,1995,E. Caribbean Dollar (XCD),2.7
Montserrat,2005,E. Caribbean Dollar (XCD),2.7
Montserrat,2010,E. Caribbean Dollar (XCD),2.7
Montserrat,2015,E. Caribbean Dollar (XCD),2.7
Montserrat,2020,E. Caribbean Dollar (XCD),2.7
Montserrat,2021,E. Caribbean Dollar (XCD),2.7
Montserrat,2022,E. Caribbean Dollar (XCD),2.7
Montserrat,2023,E. Caribbean Dollar (XCD),2.7
Morocco,1995,Moroccan Dirham (MAD),8.5
Morocco,2005,Moroccan Dirham (MAD),9.2
Morocco,2010,Moroccan Dirham (MAD),8.4
Morocco,2015,Moroccan Dirham (MAD),9.9
Morocco,2020,Moroccan Dirham (MAD),8.9
Morocco,2021,Moroccan Dirham (MAD),9.3
Morocco,2022,Moroccan Dirham (MAD),10.4
Morocco,2023,Moroccan Dirham (MAD),9.9
Mozambique,1995,Mozambique Metical (MZN),10.9
Mozambique,2005,Mozambique Metical (MZN),24.2
Mozambique,2010,Mozambique Metical (MZN),32.6
Mozambique,2015,Mozambique Metical (MZN),45.9
Mozambique,2020,Mozambique Metical (MZN),74.9
Mozambique,2021,Mozambique Metical (MZN),63.8
Mozambique,2022,Mozambique Metical (MZN),63.9
Mozambique,2023,Mozambique Metical (MZN),63.9
Myanmar,2020,Kyat (MMK),1329.10
Namibia,1995,Namibia Dollar (NAD),3.6
Namibia,2005,Namibia Dollar (NAD),6.3
Namibia,2010,Namibia Dollar (NAD),6.6
Namibia,2015,Namibia Dollar (NAD),15.5
Namibia,2020,Namibia Dollar (NAD),14.6
Namibia,2021,Namibia Dollar (NAD),15.9
Namibia,2022,Namibia Dollar (NAD),17
Namibia,2023,Namibia Dollar (NAD),18.6
Nauru,1995,Australian Dollar (AUD),1.3
Nauru,2005,Australian Dollar (AUD),1.4
Nauru,2010,Australian Dollar (AUD),1
Nauru,2015,Australian Dollar (AUD),1.4
Nauru,2020,Australian Dollar (AUD),1.3
Nauru,2021,Australian Dollar (AUD),1.4
Nauru,2022,Australian Dollar (AUD),1.5
Nauru,2023,Australian Dollar (AUD),1.5
Nepal,1995,Nepalese Rupee (NPR),56
Nepal,2005,Nepalese Rupee (NPR),74.1
Nepal,2010,Nepalese Rupee (NPR),71.7
Nepal,2015,Nepalese Rupee (NPR),107.3
Nepal,2020,Nepalese Rupee (NPR),117.8
Nepal,2021,Nepalese Rupee (NPR),121.4
Nepal,2022,Nepalese Rupee (NPR),131.9
Nepal,2023,Nepalese Rupee (NPR),132.8
Netherlands (Kingdom of the),2005,Euro (EUR),0.8
Netherlands (Kingdom of the),2010,Euro (EUR),0.7
Netherlands (Kingdom of the),2015,Euro (EUR),0.9
Netherlands (Kingdom of the),2020,Euro (EUR),0.8
Netherlands (Kingdom of the),2021,Euro (EUR),0.9
Netherlands (Kingdom of the),2022,Euro (EUR),0.9
Netherlands (Kingdom of the),2023,Euro (EUR),0.9
New Caledonia,1995,CFP Franc (XPF),89.1
New Caledonia,2005,CFP Franc (XPF),101.2
New Caledonia,2010,CFP Franc (XPF),89.3
New Caledonia,2015,CFP Franc (XPF),109.6
New Caledonia,2020,CFP Franc (XPF),97.2
New Caledonia,2021,CFP Franc (XPF),105.4
New Caledonia,2022,CFP Franc (XPF),111.9
New Caledonia,2023,CFP Franc (XPF),108
New Zealand,1995,New Zealand Dollar (NZD),1.5
New Zealand,2005,New Zealand Dollar (NZD),1.5
New Zealand,2010,New Zealand Dollar (NZD),1.3
New Zealand,2015,New Zealand Dollar (NZD),1.5
New Zealand,2020,New Zealand Dollar (NZD),1.4
New Zealand,2021,New Zealand Dollar (NZD),1.5
New Zealand,2022,New Zealand Dollar (NZD),1.6
New Zealand,2023,New Zealand Dollar (NZD),1.6
Nicaragua,1995,Cordoba Oro (NIO),8
Nicaragua,2005,Cordoba Oro (NIO),17.1
Nicaragua,2010,Cordoba Oro (NIO),21.9
Nicaragua,2015,Cordoba Oro (NIO),27.9
Nicaragua,2020,Cordoba Oro (NIO),34.8
Nicaragua,2021,Cordoba Oro (NIO),35.5
Nicaragua,2022,Cordoba Oro (NIO),36.2
Nicaragua,2023,Cordoba Oro (NIO),36.6
Niger,1995,"CFA Franc, BCEAO (XOF)",490
Niger,2005,"CFA Franc, BCEAO (XOF)",556
Niger,2010,"CFA Franc, BCEAO (XOF)",490.9
Niger,2015,"CFA Franc, BCEAO (XOF)",602.5
Niger,2020,"CFA Franc, BCEAO (XOF)",534.6
Niger,2021,"CFA Franc, BCEAO (XOF)",579.2
Niger,2022,"CFA Franc, BCEAO (XOF)",615
Niger,2023,"CFA Franc, BCEAO (XOF)",593.6
Nigeria,1995,Naira (NGN),21.9
Nigeria,2005,Naira (NGN),129
Nigeria,2010,Naira (NGN),150.7
Nigeria,2015,Naira (NGN),197
Nigeria,2020,Naira (NGN),381
Nigeria,2021,Naira (NGN),435
Nigeria,2022,Naira (NGN),460
Niue,1995,New Zealand Dollar (NZD),1.5
Niue,2005,New Zealand Dollar (NZD),1.5
Niue,2010,New Zealand Dollar (NZD),1.3
Niue,2015,New Zealand Dollar (NZD),1.5
Niue,2020,New Zealand Dollar (NZD),1.4
Niue,2021,New Zealand Dollar (NZD),1.5
Niue,2022,New Zealand Dollar (NZD),1.6
Niue,2023,New Zealand Dollar (NZD),1.6
Norfolk Island,1995,Australian dollar (AUD),1.3
Norfolk Island,2005,Australian dollar (AUD),1.4
Norfolk Island,2010,Australian dollar (AUD),1
Norfolk Island,2015,Australian dollar (AUD),1.4
Norfolk Island,2020,Australian dollar (AUD),1.3
Norfolk Island,2021,Australian dollar (AUD),1.4
Norfolk Island,2022,Australian dollar (AUD),1.5
Norfolk Island,2023,Australian dollar (AUD),1.5
North Macedonia,1995,Denar (MKD),38
North Macedonia,2005,Denar (MKD),51.9
North Macedonia,2010,Denar (MKD),46.3
North Macedonia,2015,Denar (MKD),56.4
North Macedonia,2020,Denar (MKD),50.2
North Macedonia,2021,Denar (MKD),54.4
North Macedonia,2022,Denar (MKD),57.7
North Macedonia,2023,Denar (MKD),55.7
Norway,1995,Norwegian Krone (NOK),6.3
Norway,2005,Norwegian Krone (NOK),6.8
Norway,2010,Norwegian Krone (NOK),5.9
Norway,2015,Norwegian Krone (NOK),8.8
Norway,2020,Norwegian Krone (NOK),8.5
Norway,2021,Norwegian Krone (NOK),8.8
Norway,2022,Norwegian Krone (NOK),9.9
Norway,2023,Norwegian Krone (NOK),10.2
Oman,1995,Rial Omani (OMR),0.4
Oman,2005,Rial Omani (OMR),0.4
Oman,2010,Rial Omani (OMR),0.4
Oman,2015,Rial Omani (OMR),0.4
Oman,2020,Rial Omani (OMR),0.4
Oman,2021,Rial Omani (OMR),0.4
Oman,2022,Rial Omani (OMR),0.4
Oman,2023,Rial Omani (OMR),0.4
Other non-specified areas,1995,New Taiwan Dollar (TWD),27.3
Other non-specified areas,2005,New Taiwan Dollar (TWD),32.9
Other non-specified areas,2010,New Taiwan Dollar (TWD),30.4
Other non-specified areas,2015,New Taiwan Dollar (TWD),33.1
Other non-specified areas,2020,New Taiwan Dollar (TWD),28.5
Other non-specified areas,2021,New Taiwan Dollar (TWD),27.7
Other non-specified areas,2022,New Taiwan Dollar (TWD),30.7
Other non-specified areas,2023,New Taiwan Dollar (TWD),30.7
Pakistan,1995,Pakistan Rupee (PKR),34.3
Pakistan,2005,Pakistan Rupee (PKR),59.8
Pakistan,2010,Pakistan Rupee (PKR),85.7
Pakistan,2015,Pakistan Rupee (PKR),104.9
Pakistan,2020,Pakistan Rupee (PKR),159.6
Pakistan,2021,Pakistan Rupee (PKR),176.5
Pakistan,2022,Pakistan Rupee (PKR),226.5
Pakistan,2023,Pakistan Rupee (PKR),281.9
Panama,1995,Balboa (PAB),1
Panama,2005,Balboa (PAB),1
Panama,2010,Balboa (PAB),1
Panama,2015,Balboa (PAB),1
Panama,2020,Balboa (PAB),1
Panama,2021,Balboa (PAB),1
Panama,2022,Balboa (PAB),1
Panama,2023,Balboa (PAB),1
Papua New Guinea,1995,Kina (PGK),1.3
Papua New Guinea,2005,Kina (PGK),3.1
Papua New Guinea,2010,Kina (PGK),2.6
Papua New Guinea,2015,Kina (PGK),3
Papua New Guinea,2020,Kina (PGK),3.5
Papua New Guinea,2021,Kina (PGK),3.5
Papua New Guinea,2022,Kina (PGK),3.5
Paraguay,2023,Guarani (PYG),7273.60
Peru,1995,Sol (PEN),2.3
Peru,2005,Sol (PEN),3.4
Peru,2010,Sol (PEN),2.8
Peru,2015,Sol (PEN),3.4
Peru,2020,Sol (PEN),3.6
Peru,2021,Sol (PEN),4
Peru,2022,Sol (PEN),3.8
Peru,2023,Sol (PEN),3.7
Philippines,1995,Philippine Piso (PHP),26.2
Philippines,2005,Philippine Piso (PHP),53.1
Philippines,2010,Philippine Piso (PHP),43.9
Philippines,2015,Philippine Piso (PHP),47.2
Philippines,2020,Philippine Piso (PHP),48
Philippines,2021,Philippine Piso (PHP),50.8
Philippines,2022,Philippine Piso (PHP),56.1
Philippines,2023,Philippine Piso (PHP),55.6
Pitcairn,1995,New Zealand dollar (NZD),1.5
Pitcairn,2005,New Zealand dollar (NZD),1.5
Pitcairn,2010,New Zealand dollar (NZD),1.3
Pitcairn,2015,New Zealand dollar (NZD),1.5
Pitcairn,2020,New Zealand dollar (NZD),1.4
Pitcairn,2021,New Zealand dollar (NZD),1.5
Pitcairn,2022,New Zealand dollar (NZD),1.6
Pitcairn,2023,New Zealand dollar (NZD),1.6
Poland,1995,Zloty (PLN),2.5
Poland,2005,Zloty (PLN),3.3
Poland,2010,Zloty (PLN),3
Poland,2015,Zloty (PLN),3.9
Poland,2020,Zloty (PLN),3.8
Poland,2021,Zloty (PLN),4.1
Poland,2022,Zloty (PLN),4.4
Poland,2023,Zloty (PLN),3.9
Portugal,2005,Euro (EUR),0.8
Portugal,2010,Euro (EUR),0.7
Portugal,2015,Euro (EUR),0.9
Portugal,2020,Euro (EUR),0.8
Portugal,2021,Euro (EUR),0.9
Portugal,2022,Euro (EUR),0.9
Portugal,2023,Euro (EUR),0.9
Qatar,1995,Qatari Rial (QAR),3.6
Qatar,2005,Qatari Rial (QAR),3.6
Qatar,2010,Qatari Rial (QAR),3.6
Qatar,2015,Qatari Rial (QAR),3.6
Qatar,2020,Qatari Rial (QAR),3.6
Qatar,2021,Qatari Rial (QAR),3.6
Qatar,2022,Qatari Rial (QAR),3.6
Qatar,2023,Qatari Rial (QAR),3.6
Republic of Korea,2023,South Korean Won (KRW),1289.40
Republic of Moldova,1995,Moldovan Leu (MDL),4.5
Republic of Moldova,2005,Moldovan Leu (MDL),12.8
Republic of Moldova,2010,Moldovan Leu (MDL),12.2
Republic of Moldova,2015,Moldovan Leu (MDL),19.7
Republic of Moldova,2020,Moldovan Leu (MDL),17.2
Republic of Moldova,2021,Moldovan Leu (MDL),17.7
Republic of Moldova,2022,Moldovan Leu (MDL),19.2
Republic of Moldova,2023,Moldovan Leu (MDL),17.4
Reunion,2023,Euro (EUR),0.9
Romania,1995,Romanian Leu (RON),0.3
Romania,2005,Romanian Leu (RON),3.1
Romania,2010,Romanian Leu (RON),3.2
Romania,2015,Romanian Leu (RON),4.1
Romania,2020,Romanian Leu (RON),4
Romania,2021,Romanian Leu (RON),4.4
Romania,2022,Romanian Leu (RON),4.6
Romania,2023,Romanian Leu (RON),4.5
Russian Federation,1995,Russian Ruble (RUB),4.6
Russian Federation,2005,Russian Ruble (RUB),28.8
Russian Federation,2010,Russian Ruble (RUB),30.5
Russian Federation,2015,Russian Ruble (RUB),72.9
Russian Federation,2020,Russian Ruble (RUB),73.9
Russian Federation,2021,Russian Ruble (RUB),74.3
Russian Federation,2022,Russian Ruble (RUB),70.3
Russian Federation,2023,Russian Ruble (RUB),89.7
Rwanda,2023,Rwanda Franc (RWF),1263.90
Saint Barthelemy,2023,Euro (EUR),0.9
Saint Helena,1995,Saint Helena Pound (SHP),0.6
Saint Helena,2005,Saint Helena Pound (SHP),0.6
Saint Helena,2010,Saint Helena Pound (SHP),0.6
Saint Helena,2015,Saint Helena Pound (SHP),0.7
Saint Helena,2020,Saint Helena Pound (SHP),0.7
Saint Helena,2021,Saint Helena Pound (SHP),0.7
Saint Helena,2022,Saint Helena Pound (SHP),0.8
Saint Helena,2023,Saint Helena Pound (SHP),0.8
Saint Kitts and Nevis,1995,E. Caribbean Dollar (XCD),2.7
Saint Kitts and Nevis,2005,E. Caribbean Dollar (XCD),2.7
Saint Kitts and Nevis,2010,E. Caribbean Dollar (XCD),2.7
Saint Kitts and Nevis,2015,E. Caribbean Dollar (XCD),2.7
Saint Kitts and Nevis,2020,E. Caribbean Dollar (XCD),2.7
Saint Kitts and Nevis,2021,E. Caribbean Dollar (XCD),2.7
Saint Kitts and Nevis,2022,E. Caribbean Dollar (XCD),2.7
Saint Kitts and Nevis,2023,E. Caribbean Dollar (XCD),2.7
Saint Lucia,1995,E. Caribbean Dollar (XCD),2.7
Saint Lucia,2005,E. Caribbean Dollar (XCD),2.7
Saint Lucia,2010,E. Caribbean Dollar (XCD),2.7
Saint Lucia,2015,E. Caribbean Dollar (XCD),2.7
Saint Lucia,2020,E. Caribbean Dollar (XCD),2.7
Saint Lucia,2021,E. Caribbean Dollar (XCD),2.7
Saint Lucia,2022,E. Caribbean Dollar (XCD),2.7
Saint Lucia,2023,E. Caribbean Dollar (XCD),2.7
Saint Martin (French part),2005,Euro (EUR),0.8
Saint Martin (French part),2010,Euro (EUR),0.7
Saint Martin (French part),2015,Euro (EUR),0.9
Saint Martin (French part),2020,Euro (EUR),0.8
Saint Martin (French part),2021,Euro (EUR),0.9
Saint Martin (French part),2022,Euro (EUR),0.9
Saint Martin (French part),2023,Euro (EUR),0.9
Saint Pierre and Miquelon,2005,Euro (EUR),0.8
Saint Pierre and Miquelon,2010,Euro (EUR),0.7
Saint Pierre and Miquelon,2015,Euro (EUR),0.9
Saint Pierre and Miquelon,2020,Euro (EUR),0.8
Saint Pierre and Miquelon,2021,Euro (EUR),0.9
Saint Pierre and Miquelon,2022,Euro (EUR),0.9
Saint Pierre and Miquelon,2023,Euro (EUR),0.9
Saint Vincent & Grenadines,1995,E. Caribbean Dollar (XCD),2.7
Saint Vincent & Grenadines,2005,E. Caribbean Dollar (XCD),2.7
Saint Vincent & Grenadines,2010,E. Caribbean Dollar (XCD),2.7
Saint Vincent & Grenadines,2015,E. Caribbean Dollar (XCD),2.7
Saint Vincent & Grenadines,2020,E. Caribbean Dollar (XCD),2.7
Saint Vincent & Grenadines,2021,E. Caribbean Dollar (XCD),2.7
Saint Vincent & Grenadines,2022,E. Caribbean Dollar (XCD),2.7
Saint Vincent & Grenadines,2023,E. Caribbean Dollar (XCD),2.7
Samoa,1995,Tala (WST),2.5
Samoa,2005,Tala (WST),2.8
Samoa,2010,Tala (WST),2.3
Samoa,2015,Tala (WST),2.6
Samoa,2020,Tala (WST),2.5
Samoa,2021,Tala (WST),2.6
Samoa,2022,Tala (WST),2.7
Samoa,2023,Tala (WST),2.7
San Marino,2005,Euro (EUR),0.8
San Marino,2010,Euro (EUR),0.7
San Marino,2015,Euro (EUR),0.9
San Marino,2020,Euro (EUR),0.8
San Marino,2021,Euro (EUR),0.9
San Marino,2022,Euro (EUR),0.9
San Marino,2023,Euro (EUR),0.9
Sao Tome and Principe,1995,Dobra (STN),1.8
Sao Tome and Principe,2005,Dobra (STN),11.9
Sao Tome and Principe,2010,Dobra (STN),18.3
Sao Tome and Principe,2015,Dobra (STN),22.4
Sao Tome and Principe,2020,Dobra (STN),19.9
Sao Tome and Principe,2021,Dobra (STN),21.7
Sao Tome and Principe,2022,Dobra (STN),23
Sark,1995,Pound Sterling (GBP),0.6
Sark,2005,Pound Sterling (GBP),0.6
Sark,2010,Pound Sterling (GBP),0.6
Sark,2015,Pound Sterling (GBP),0.7
Sark,2020,Pound Sterling (GBP),0.7
Sark,2021,Pound Sterling (GBP),0.7
Sark,2022,Pound Sterling (GBP),0.8
Sark,2023,Pound Sterling (GBP),0.8
Saudi Arabia,1995,Saudi Riyal (SAR),3.8
Saudi Arabia,2005,Saudi Riyal (SAR),3.8
Saudi Arabia,2010,Saudi Riyal (SAR),3.8
Saudi Arabia,2015,Saudi Riyal (SAR),3.8
Saudi Arabia,2020,Saudi Riyal (SAR),3.8
Saudi Arabia,2021,Saudi Riyal (SAR),3.8
Saudi Arabia,2022,Saudi Riyal (SAR),3.8
Saudi Arabia,2023,Saudi Riyal (SAR),3.8
Senegal,1995,"CFA Franc, BCEAO (XOF)",490
Senegal,2005,"CFA Franc, BCEAO (XOF)",556
Senegal,2010,"CFA Franc, BCEAO (XOF)",490.9
Senegal,2015,"CFA Franc, BCEAO (XOF)",602.5
Senegal,2020,"CFA Franc, BCEAO (XOF)",534.6
Senegal,2021,"CFA Franc, BCEAO (XOF)",579.2
Senegal,2022,"CFA Franc, BCEAO (XOF)",615
Senegal,2023,"CFA Franc, BCEAO (XOF)",593.6
Serbia,2005,Serbian Dinar (RSD),72.2
Serbia,2010,Serbian Dinar (RSD),79.3
Serbia,2015,Serbian Dinar (RSD),111.2
Serbia,2020,Serbian Dinar (RSD),95.7
Serbia,2021,Serbian Dinar (RSD),103.9
Serbia,2022,Serbian Dinar (RSD),110.2
Serbia,2023,Serbian Dinar (RSD),105.9
Seychelles,1995,Seychelles Rupee (SCR),4.9
Seychelles,2005,Seychelles Rupee (SCR),5.5
Seychelles,2010,Seychelles Rupee (SCR),12.1
Seychelles,2015,Seychelles Rupee (SCR),13.2
Seychelles,2020,Seychelles Rupee (SCR),21.6
Seychelles,2021,Seychelles Rupee (SCR),14.7
Seychelles,2022,Seychelles Rupee (SCR),14.1
Sierra Leone,1995,Leone (SLE),0.9
Sierra Leone,2005,Leone (SLE),2.9
Sierra Leone,2010,Leone (SLE),4.2
Sierra Leone,2015,Leone (SLE),5.6
Sierra Leone,2020,Leone (SLE),10.1
Sierra Leone,2021,Leone (SLE),11.2
Sierra Leone,2022,Leone (SLE),18.8
Sierra Leone,2023,Leone (SLE),22.8
Singapore,1995,Singapore Dollar (SGD),1.4
Singapore,2005,Singapore Dollar (SGD),1.7
Singapore,2010,Singapore Dollar (SGD),1.3
Singapore,2015,Singapore Dollar (SGD),1.4
Singapore,2020,Singapore Dollar (SGD),1.3
Singapore,2021,Singapore Dollar (SGD),1.4
Singapore,2022,Singapore Dollar (SGD),1.3
Singapore,2023,Singapore Dollar (SGD),1.3
Sint Maarten (Dutch part),2010,Neth. Ant. Guilder (ANG),1.8
Sint Maarten (Dutch part),2015,Neth. Ant. Guilder (ANG),1.8
Sint Maarten (Dutch part),2020,Neth. Ant. Guilder (ANG),1.8
Sint Maarten (Dutch part),2021,Neth. Ant. Guilder (ANG),1.8
Sint Maarten (Dutch part),2022,Neth. Ant. Guilder (ANG),1.8
Sint Maarten (Dutch part),2023,Neth. Ant. Guilder (ANG),1.8
Slovakia,2010,Euro (EUR),0.7
Slovakia,2015,Euro (EUR),0.9
Slovakia,2020,Euro (EUR),0.8
Slovakia,2021,Euro (EUR),0.9
Slovakia,2022,Euro (EUR),0.9
Slovakia,2023,Euro (EUR),0.9
Slovenia,2010,Euro (EUR),0.7
Slovenia,2015,Euro (EUR),0.9
Slovenia,2020,Euro (EUR),0.8
Slovenia,2021,Euro (EUR),0.9
Slovenia,2022,Euro (EUR),0.9
Slovenia,2023,Euro (EUR),0.9
Solomon Islands,1995,Solomon Is. Dollar (SBD),3.5
Solomon Islands,2005,Solomon Is. Dollar (SBD),7.6
Solomon Islands,2010,Solomon Is. Dollar (SBD),8.1
Solomon Islands,2015,Solomon Is. Dollar (SBD),8.1
Solomon Islands,2020,Solomon Is. Dollar (SBD),8
Solomon Islands,2021,Solomon Is. Dollar (SBD),8.1
Solomon Islands,2022,Solomon Is. Dollar (SBD),8.3
Solomon Islands,2023,Solomon Is. Dollar (SBD),8.5
Somalia,2023,Somali Shilling (SOS),24300.00
South Africa,1995,Rand (ZAR),3.6
South Africa,2005,Rand (ZAR),6.3
South Africa,2010,Rand (ZAR),6.6
South Africa,2015,Rand (ZAR),15.5
South Africa,2020,Rand (ZAR),14.7
South Africa,2021,Rand (ZAR),15.9
South Africa,2022,Rand (ZAR),17
South Africa,2023,Rand (ZAR),18.5
South Georgia & Sandwich Is.,1995,Pound Sterling (GBP),0.6
South Georgia & Sandwich Is.,2005,Pound Sterling (GBP),0.6
South Georgia & Sandwich Is.,2010,Pound Sterling (GBP),0.6
South Georgia & Sandwich Is.,2015,Pound Sterling (GBP),0.7
South Georgia & Sandwich Is.,2020,Pound Sterling (GBP),0.7
South Georgia & Sandwich Is.,2021,Pound Sterling (GBP),0.7
South Georgia & Sandwich Is.,2022,Pound Sterling (GBP),0.8
South Georgia & Sandwich Is.,2023,Pound Sterling (GBP),0.8
South Sudan,2015,S. Sudanese Pound (SSP),16.6
South Sudan,2020,S. Sudanese Pound (SSP),177.3
South Sudan,2021,S. Sudanese Pound (SSP),432
South Sudan,2022,S. Sudanese Pound (SSP),668.7
Spain,2005,Euro (EUR),0.8
Spain,2010,Euro (EUR),0.7
Spain,2015,Euro (EUR),0.9
Spain,2020,Euro (EUR),0.8
Spain,2021,Euro (EUR),0.9
Spain,2022,Euro (EUR),0.9
Spain,2023,Euro (EUR),0.9
Sri Lanka,1995,Sri Lanka Rupee (LKR),54
